Curing age (day),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
7,9.2,0.72
7,7.8,0.65
28,29.8,2.23
28,22.3,1.56
28,23.5,1.73
28,18,1.46
28,23.6,2.04
28,21.5,1.8
28,19.9,1.62
28,21.6,1.96
28,20,1.69
28,18.5,1.53
90,32.8,2.2
90,28,2.12
90,25.5,2.1
90,29.8,2.52
90,27.8,2.18
90,26.9,1.95
28,28.8,1.71
28,30.6,1.99
28,14.7,1.1
28,20.2,1.43
90,41.3,2.33
90,44,3
90,24.8,1.8
90,30.9,2.26
7,15.5,0.79
7,11.9,0.72
7,9.3,0.61
7,7.5,0.6
7,7.8,0.47
7,5.8,0.46
7,11.6,0.9
7,9.2,0.72
7,7.8,0.65
7,14,1.18
7,12.5,0.84
7,9.2,0.62
7,8.3,0.57
7,6.9,0.56
7,15.2,0.96
7,12.9,0.86
7,10.3,0.65
7,9,0.64
7,7.4,0.52
7,4.8,0.35
7,12.4,0.96
7,9.2,0.72
7,6.8,0.55
7,6.5,0.54
7,6.8,0.54
28,23.6,2.04
28,21.5,1.8
28,19.9,1.62
28,13.2,1.13
28,15.9,1.4
28,11.3,1.08
28,21.6,1.96
28,20,1.69
28,18.5,1.53
28,24.5,2.18
28,21.4,1.63
28,19.6,1.26
28,16.9,1.09
28,13.2,1.02
28,24.1,2.1
28,21.5,1.8
28,20.1,1.6
28,16.2,1.46
28,14.9,1.45
28,10.1,1.08
28,21.8,1.92
28,18.9,1.42
28,14,1.06
28,13.5,1.11
28,12.9,1.16
90,32.8,2.2
90,28,2.12
90,25.5,2.1
90,24.4,2.09
90,22.9,2.05
90,20.8,1.99
90,29.8,2.52
90,27.8,2.18
90,26.9,1.95
90,34.6,2.88
90,27.9,2.29
90,24.3,2.08
90,23.5,1.93
90,22.5,1.8
90,33.4,2.45
90,30.1,2.2
90,29.1,2.13
90,21.5,1.9
90,20.2,2.05
90,17.5,1.87
90,30.2,2.49
90,28.2,2.21
90,27.7,2.1
90,27,2.01
90,26.5,2
7,15.2,1.44
7,15.2,1.56
7,16.4,1.59
7,18.5,1.5
7,16.2,1.62
7,18.2,1.7
7,15.8,1.58
7,16.6,1.54
7,17.2,1.58
28,22.6,2.49
28,26.2,2.33
28,24.2,2.36
28,27.3,2.75
28,26.7,2.76
28,26.5,2.48
28,23.1,2.27
28,28.2,2.97
28,30.2,2.9
90,29.9,3.54
90,32,3.42
90,33,3.18
90,37.9,3.15
90,37.1,3.21
90,34.8,3.18
90,34.2,2.69
90,32.6,3.14
90,39.6,3.11
7,20.4,1.61
7,19.9,1.57
7,19.2,1.53
7,18.4,1.5
7,18.4,1.5
28,29.7,3.04
28,29.7,3.02
28,28.5,2.91
28,27.4,2.84
28,27.1,2.75
90,40.9,3.43
90,40.2,3.37
90,39.4,3.26
90,38.3,3.19
90,37.5,3.15
7,26.56,1.92
28,33.12,2.34
90,39.94,3.32
7,32.17,2.67
28,40.49,3.03
90,49.7,3.68
7,43.15,2.9
28,49.26,3.12
90,63.7,4.1
7,55.85,3.85
28,63.72,3.86
90,79.17,4.19
7,28,2.22
28,35.47,3.34
90,44.25,3.47
7,33.42,2.31
28,41.43,3.52
90,52.35,3.98
7,42.97,3.61
28,46.85,4.25
90,60.65,4.59
7,47.71,3.75
28,65.37,4.69
90,73.7,4.76
