Compressive strength of cement fce (MPa),Tensile strength of cement fct (MPa),Curing age (day),Dmax of crushed stone (mm),Stone powder content in sand (%),Fineness modulus of sand,W/B,"Water to cement ratio, mw/mc",Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
55.6,8.91,1,20,19.4,2.8,0.28,0.4,180,45,80.26760563,4.23,0.6
55.6,8.91,3,20,19.4,2.8,0.28,0.4,180,45,80.26760563,14.9,1.35
55.6,8.91,7,20,19.4,2.8,0.28,0.4,180,45,80.26760563,28.3,2.24
55.6,8.91,14,20,19.4,2.8,0.28,0.4,180,45,80.26760563,40.9,3.01
55.6,8.91,28,20,19.4,2.8,0.28,0.4,180,45,80.26760563,50.8,3.64
55.6,8.91,60,20,19.4,2.8,0.28,0.4,180,45,80.26760563,59.5,4.32
55.6,8.91,90,20,19.4,2.8,0.28,0.4,180,45,80.26760563,65.4,4.43
50.35049676,8.309271071,28,40,7.1,2.933439065,0.45,0.56,109,36,85,24.8,1.98
50.35049676,8.309271071,28,40,9.1,2.933439065,0.45,0.56,111,36,86,28.1,2.23
50.35049676,8.309271071,28,40,11.2,2.933439065,0.45,0.56,113,36,83,29.8,2.41
50.35049676,8.309271071,28,40,13.3,2.933439065,0.45,0.56,116,36,85,31.5,2.47
50.35049676,8.309271071,28,40,15.5,2.933439065,0.45,0.56,119,36,90,34,2.65
50.35049676,8.309271071,28,40,17.8,2.933439065,0.45,0.56,122,36,88,33.2,2.68
50.35049676,8.309271071,28,40,20,2.933439065,0.45,0.56,124,36,87,32.8,2.54
50.35049676,8.309271071,28,40,22.1,2.933439065,0.45,0.56,126,36,85,31.6,2.37
50.35049676,8.309271071,28,40,7.1,2.933439065,0.45,0.56,129,42,171,24.1,2.01
50.35049676,8.309271071,28,40,9.1,2.933439065,0.45,0.56,131,42,177,27.5,2.36
50.35049676,8.309271071,28,40,11.2,2.933439065,0.45,0.56,133,42,182,29,2.37
50.35049676,8.309271071,28,40,13.3,2.933439065,0.45,0.56,136,42,176,30.9,2.41
50.35049676,8.309271071,28,40,15.5,2.933439065,0.45,0.56,139,42,175,33.7,2.47
50.35049676,8.309271071,28,40,17.8,2.933439065,0.45,0.56,142,42,179,32.4,2.56
50.35049676,8.309271071,28,40,20,2.933439065,0.45,0.56,144,42,180,31.2,2.52
50.35049676,8.309271071,28,40,22.1,2.933439065,0.45,0.56,146,42,173,30.9,2.41
50.35049676,8.309271071,7,40,6,2.933439065,0.36,0.48,126,35,50,24.6,1.95
50.35049676,8.309271071,7,40,9,2.933439065,0.36,0.48,128,34,45,25.3,2.25
50.35049676,8.309271071,7,40,12,2.933439065,0.36,0.48,130,34,60,25,2.09
50.35049676,8.309271071,7,40,15,2.933439065,0.36,0.48,131,33,55,24.8,1.97
50.35049676,8.309271071,7,40,18,2.933439065,0.36,0.48,135,33,60,26.1,2.29
50.35049676,8.309271071,28,40,6,2.933439065,0.36,0.48,126,35,50,40.1,3.13
50.35049676,8.309271071,28,40,9,2.933439065,0.36,0.48,128,34,45,41.8,2.88
50.35049676,8.309271071,28,40,12,2.933439065,0.36,0.48,130,34,60,41.4,3.03
50.35049676,8.309271071,28,40,15,2.933439065,0.36,0.48,131,33,55,41.3,3.21
50.35049676,8.309271071,28,40,18,2.933439065,0.36,0.48,135,33,60,41.1,3.07
50.35049676,8.309271071,90,40,6,2.933439065,0.36,0.48,126,35,50,55.1,3.82
50.35049676,8.309271071,90,40,9,2.933439065,0.36,0.48,128,34,45,56.1,3.9
50.35049676,8.309271071,90,40,12,2.933439065,0.36,0.48,130,34,60,51,3.79
50.35049676,8.309271071,90,40,15,2.933439065,0.36,0.48,131,33,55,51.5,3.77
50.35049676,8.309271071,90,40,18,2.933439065,0.36,0.48,135,33,60,53.2,4.12
50.35049676,8.309271071,180,40,6,2.933439065,0.36,0.48,126,35,50,54.8,3.97
50.35049676,8.309271071,180,40,9,2.933439065,0.36,0.48,128,34,45,61.6,4.45
50.35049676,8.309271071,180,40,12,2.933439065,0.36,0.48,130,34,60,54.6,4.51
50.35049676,8.309271071,180,40,15,2.933439065,0.36,0.48,131,33,55,54.8,4.02
50.35049676,8.309271071,180,40,18,2.933439065,0.36,0.48,135,33,60,58.8,4.5
52.5,8.8,3,20,5.4,3.11,0.37,0.44,166,44,185,19,1.6
52.5,8.8,7,20,5.4,3.11,0.37,0.44,166,44,185,31.5,2.4
52.5,8.8,28,20,5.4,3.11,0.37,0.44,166,44,185,45.8,2.6
52.5,8.8,56,20,5.4,3.11,0.37,0.44,166,44,185,53,3.6
52.5,8.8,3,20,5.4,3.11,0.34,0.34,158,42,105,48.2,3.6
52.5,8.8,7,20,5.4,3.11,0.34,0.34,158,42,105,56.6,3.8
52.5,8.8,28,20,5.4,3.11,0.34,0.34,158,42,105,69.1,4
52.5,8.8,56,20,5.4,3.11,0.34,0.34,158,42,105,69.4,4.4
52.7,9,3,31.5,6.6,2.94,0.42,0.42,185,36,35,23.4,2.03
52.7,9,28,31.5,6.6,2.94,0.42,0.42,185,36,35,35.6,3.04
